,name,company,year,Price,kms_driven,fuel_type
917,Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol
918,Ford EcoSport Titanium,Ford,2014,550000,44000,Diesel
919,Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol
920,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel
921,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol
922,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel
923,Honda Amaze 1.2,Honda,2014,325000,42000,Petrol
924,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
925,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
926,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
927,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
928,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
929,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
930,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
931,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
932,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
933,Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel
934,Toyota Etios Liva,Toyota,2014,270000,55000,Petrol
935,Hyundai i20 Sportz,Hyundai,2011,350000,33333,Diesel
936,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol
937,Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol
938,Nissan Micra XV,Nissan,2011,179000,41000,Petrol
939,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
940,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol
941,Honda Amaze 1.5,Honda,2013,299000,45000,Diesel
942,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol
943,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol
944,Honda City 1.5,Honda,2010,285000,35000,Petrol
945,Ford EcoSport Trend,Ford,2016,830000,24330,Diesel
946,Hyundai i20 Asta,Hyundai,2009,210000,65480,Petrol
947,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol
948,Tata Indica V2,Tata,2006,90000,20000,Petrol
949,Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel
950,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol
951,Toyota Corolla Altis,Toyota,2012,349999,59000,Petrol
952,Toyota Innova 2.5,Toyota,2012,849999,99000,Diesel
953,Volkswagen Jetta Highline,Volkswagen,2014,749999,46000,Diesel
954,Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,Petrol
955,Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol
956,Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel
957,Renault Duster,Renault,2014,449999,50000,Diesel
958,Honda Amaze,Honda,2015,344999,22000,Petrol
959,Nissan Sunny,Nissan,2012,224999,45000,Petrol
960,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol
961,Renault Kwid,Renault,2016,244999,11000,Petrol
962,Renault Duster,Renault,2013,399999,41000,Diesel
963,Ford EcoSport,Ford,2017,489999,39000,Petrol
964,Renault Duster,Renault,2014,474999,50000,Diesel
965,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel
966,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol
967,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol
968,Datsun Redi GO,Datsun,2016,245000,7000,Petrol
969,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel
970,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel
971,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel
972,Toyota Etios GD,Toyota,2013,275000,24800,Petrol
973,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel
974,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol
975,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel
976,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel
977,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel
978,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel
979,Tata Indigo CS,Tata,2011,85000,11400,Diesel
980,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol
981,Honda City 1.5,Honda,2014,549000,39000,Petrol
982,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel
983,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol
984,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
985,Mahindra XUV500,Mahindra,2014,699999,52000,Diesel
986,Honda Brio,Honda,2012,224999,30000,Petrol
987,Ford Fiesta,Ford,2011,274999,55000,Diesel
988,Honda Amaze,Honda,2013,284999,46000,Diesel
989,Honda City,Honda,2015,599999,30000,Diesel
990,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol
991,Honda City,Honda,2014,544999,45000,Diesel
992,Hyundai i20,Hyundai,2009,199000,31000,Petrol
993,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
994,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
995,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
996,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol
997,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
998,Mini Cooper S,Mini,2013,1891111,13000,Petrol
999,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol
1000,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol
1001,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol
1002,Honda City,Honda,2015,448999,54000,Petrol
1003,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol
1004,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel
1005,Mahindra Scorpio SLE,Mahindra,2012,565000,62000,Diesel
1006,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel
1007,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol
1008,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol
1009,Tata Nano Cx,Tata,2013,40000,2200,Petrol
1010,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol
1011,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol
1012,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol
1013,Tata Sumo Victa,Tata,2012,285000,65000,Diesel
1014,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol
1015,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol
1016,Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,Diesel
1017,Renault Scala RxL,Renault,2015,375000,25000,Diesel
1018,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
1019,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
1020,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
1021,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
1022,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
1023,Renault Duster 110PS,Renault,2012,501000,35000,Diesel
1024,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel
1025,Force Motors Force,Force,2015,580000,3200,Diesel
1026,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
1027,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel
1028,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
1029,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
1030,Toyota Etios,Toyota,2011,275000,36000,Diesel
1031,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
1032,Honda City ZX,Honda,2008,110000,45000,Petrol
1033,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol
1034,Honda City VX,Honda,2016,519000,52000,Diesel
1035,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel
1036,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel
1037,Audi A4 1.8,Audi,2009,699000,47000,Petrol
1038,Mercedes Benz GLA,Mercedes,2015,2000000,20000,Diesel
1039,Land Rover Freelander,Land,2015,2100000,30000,Diesel
1040,Renault Kwid RXT,Renault,2017,340000,5000,Petrol
1041,Tata Aria Pleasure,Tata,2014,390000,35000,Diesel
1042,Mercedes Benz B,Mercedes,2014,1400000,31000,Petrol
1043,Datsun GO T,Datsun,2016,245000,7000,Petrol
1044,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
1045,Tata Indigo eCS,Tata,2016,320000,175400,Diesel
1046,Honda Jazz VX,Honda,2016,450000,41000,Petrol
1047,Honda Amaze 1.2,Honda,2014,311000,33000,Petrol
1048,Honda Amaze,Honda,2013,284999,46000,Diesel
1049,Honda City,Honda,2012,399999,45000,Petrol
1050,Honda City,Honda,2015,599999,39000,Diesel
1051,Honda Amaze,Honda,2015,344999,22000,Petrol
1052,Audi A4 1.8,Audi,2009,699000,47000,Petrol
1053,Force Motors Force,Force,2015,580000,3200,Diesel
1054,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
1055,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel
1056,Mini Cooper S,Mini,2013,1891111,13000,Petrol
1057,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol
1058,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
1059,Honda Amaze,Honda,2013,284999,46000,Diesel
1060,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol
1061,Tata Sumo Gold,Tata,2013,300000,50000,Diesel
1062,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol
1063,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol
1064,Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol
1065,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel
1066,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
1067,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
1068,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
1069,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
1070,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
1071,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
1072,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
1073,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
1074,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol
1075,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol
1076,Mini Cooper S,Mini,2013,1891111,13500,Petrol
1077,Nissan Terrano XL,Nissan,2015,499999,60000,Diesel
1078,Renault Duster 85,Renault,2013,489999,27000,Diesel
1079,Renault Duster 85,Renault,2014,489999,59000,Diesel
1080,Renault Duster 85,Renault,2015,549999,19000,Diesel
1081,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol
1082,Renault Kwid RXT,Renault,2018,325000,15000,Petrol
1083,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol
1084,Renault Kwid 1.0,Renault,2018,349999,10000,Petrol
1085,Renault Lodgy 85,Renault,2018,689999,20000,Diesel
1086,Renault Scala RxL,Renault,2014,349999,49000,Diesel
1087,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol
1088,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol
1089,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol
1090,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
1091,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol
1092,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
1093,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol
1094,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
1095,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol
1096,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol
1097,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
1098,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel
1099,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
1100,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel
1101,Mini Cooper S,Mini,2013,1891111,13000,Petrol
1102,Mini Cooper S,Mini,2013,1891111,13000,Petrol
1103,Tata Indica V2,Tata,2008,150000,11000,Petrol
1104,Mini Cooper S,Mini,2013,1891111,13000,Petrol
1105,Tata Indigo CS,Tata,2009,72500,46000,Diesel
1106,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol
1107,Mahindra Scorpio VLX,Mahindra,2004,230000,160000,Diesel
1108,Honda Accord,Honda,2009,175000,58559,Petrol
1109,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
1110,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
1111,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel
1112,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
1113,Honda Amaze,Honda,2014,299999,37000,Petrol
1114,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol
1115,Honda City,Honda,2011,284999,55000,Petrol
1116,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel
1117,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel
1118,Honda City,Honda,2015,644999,39000,Petrol
1119,Honda Mobilio,Honda,2014,399999,44000,Petrol
1120,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol
1121,Honda City,Honda,2014,584999,39000,Petrol
1122,Skoda Laura,Skoda,2012,349999,44000,Diesel
1123,Renault Duster,Renault,2015,449999,49000,Diesel
1124,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
1125,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel
1126,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel
1127,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel
1128,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel
1129,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol
1130,Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel
1131,Honda Amaze,Honda,2014,274999,35000,Petrol
1132,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel
1133,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel
1134,Skoda Laura,Skoda,2013,374999,50000,Diesel
1135,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel
1136,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol
1137,Tata Manza Aura,Tata,2012,130000,72000,Diesel
1138,Chevrolet Sail UVA,Chevrolet,2013,210000,60000,Petrol
1139,Renault Duster 110,Renault,2012,501000,38000,Diesel
1140,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel
1141,Audi A4 2.0,Audi,2012,1350000,40000,Diesel
1142,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol
1143,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel
1144,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel
1145,Renault Scala RxL,Renault,2015,375000,25000,Diesel
1146,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
1147,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
1148,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
1149,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
1150,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
1151,Hyundai i20,Hyundai,2014,449999,23000,Petrol
1152,Hyundai Eon,Hyundai,2014,174999,14000,Petrol
1153,Hyundai i10,Hyundai,2012,244999,38000,Petrol
1154,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel
1155,Datsun Redi GO,Datsun,2017,244999,22000,Petrol
1156,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol
1157,Hyundai Accent,Hyundai,2010,99999,45000,Petrol
1158,Hyundai Verna,Hyundai,2014,489999,44000,Diesel
1159,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
1160,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel
1161,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol
1162,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel
1163,Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel
1164,Honda City 1.5,Honda,2010,240000,400000,Petrol
1165,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol
1166,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
1167,Renault Duster 110PS,Renault,2012,501000,35000,Diesel
1168,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel
1169,Tata Indigo eCS,Tata,2014,250000,40000,Diesel
1170,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel
1171,Force Motors Force,Force,2015,580000,3200,Diesel
1172,Skoda Rapid Elegance,Skoda,2013,340000,48000,Diesel
1173,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel
1174,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol
1175,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
1176,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol
1177,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel
1178,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol
1179,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
1180,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel
1181,Honda City ZX,Honda,2008,149000,42000,Petrol
1182,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
1183,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel
1184,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel
1185,Honda City 1.5,Honda,2010,225000,70000,Petrol
1186,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol
1187,Toyota Innova 2.5,Toyota,2012,770000,0,Diesel
1188,Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol
1189,Toyota Etios,Toyota,2011,275000,36000,Diesel
1190,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
1191,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
1192,Hyundai Elite i20,Hyundai,2015,450000,20000,Diesel
1193,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol
1194,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol
1195,Tata Indigo LX,Tata,2016,130000,104000,Diesel
1196,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
1197,Mercedes Benz C,Mercedes,2002,399000,41000,Petrol
1198,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel
1199,Honda City,Honda,2000,65000,80000,Petrol
1200,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol
1201,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol
1202,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel
1203,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol
1204,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
1205,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol
1206,Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol
1207,Honda Jazz S,Honda,2009,169999,24695,Petrol
1208,Hyundai Grand i10,Hyundai,2017,450000,15141,Petrol
1209,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol
1210,Mahindra Scorpio W,Mahindra,2012,165000,65000,Diesel
1211,Maruti Suzuki Alto,Maruti,2014,270000,22000,Petrol
1212,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel
1213,Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel
1214,Hyundai Creta 1.6,Hyundai,2016,950000,25000,Petrol
1215,Hyundai i20 Magna,Hyundai,2013,310000,35000,Petrol
1216,Renault Duster 85,Renault,2015,715000,65000,Diesel
1217,Hyundai Grand i10,Hyundai,2014,340000,35000,Petrol
1218,Honda Brio V,Honda,2012,235000,33000,Petrol
1219,Mahindra TUV300 T4,Mahindra,2017,610000,68000,Diesel
1220,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol
1221,Mahindra TUV300 T8,Mahindra,2018,1000000,4500,Diesel
1222,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel
1223,Nissan X Trail,Nissan,2019,1200000,300,Diesel
1224,Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol
1225,Ford Ikon 1.3,Ford,2001,45000,65000,Petrol
1226,Toyota Fortuner 3.0,Toyota,2010,940000,131000,Diesel
1227,Tata Manza ELAN,Tata,2010,155555,111111,Petrol
1228,Mercedes Benz A,Mercedes,2013,1500000,14000,Petrol
1229,Chevrolet Beat LS,Chevrolet,2016,210000,22000,Diesel
1230,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel
1231,Tata Indigo LS,Tata,2016,125000,70000,Diesel
1232,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol
1233,Volkswagen Vento Highline,Volkswagen,2015,550000,34000,Diesel
1234,Renault Kwid RXT,Renault,2015,270000,43000,Petrol
1235,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel
1236,Honda Amaze 1.5,Honda,2016,240000,160000,Diesel
1237,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Petrol
1238,BMW 5 Series,BMW,2011,1299000,49000,Diesel
1239,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol
1240,Audi Q3 2.0,Audi,2013,1499000,37000,Diesel
1241,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel
1242,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
1243,Ford Figo Duratorq,Ford,2012,250000,99000,Diesel
1244,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol
1245,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Petrol
1246,Tata Nano GenX,Tata,2010,32000,44005,Petrol
1247,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
1248,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
1249,Hyundai Elite i20,Hyundai,2015,405000,28000,Petrol
1250,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol
1251,Honda City SV,Honda,2017,760000,4000,Petrol
1252,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol
1253,Ford Figo Petrol,Ford,2011,175000,75000,Petrol
1254,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
1255,Honda City,Honda,2017,750000,3000,Petrol
1256,Hyundai Elite i20,Hyundai,2015,419000,20000,Petrol
1257,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
1258,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol
1259,Mitsubishi Pajero Sport,Mitsubishi,2015,1540000,43222,Petrol
1260,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol
1261,Toyota Corolla H2,Toyota,2003,150000,100000,Petrol
1262,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol
1263,Tata Indigo CS,Tata,2015,123000,100000,Diesel
1264,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
1265,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
1266,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel
1267,Honda City,Honda,2015,499999,55000,Petrol
1268,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol
1269,Maruti Suzuki Baleno,Maruti,2016,498000,22000,Petrol
1270,Tata Zest XE,Tata,2018,480000,103553,Diesel
1271,Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel
1272,Tata Sumo Gold,Tata,2014,250000,99000,Diesel
1273,Toyota Corolla Altis,Toyota,2010,220000,58000,Petrol
1274,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG
1275,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
1276,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel
1277,Tata Tigor Revotron,Tata,2019,650000,100,Diesel
1278,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol
1279,Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
1280,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
1281,Honda Mobilio S,Honda,2014,399000,44000,Diesel
1282,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
1283,Maruti Suzuki Vitara,Maruti,2017,725000,36000,Diesel
1284,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel
1285,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol
1286,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
1287,Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol
1288,Honda Amaze,Honda,2013,250000,55700,Diesel
1289,Tata Indica,Tata,2005,80000,42000,Petrol
1290,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol
1291,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol
1292,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol
1293,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol
1294,Honda Brio VX,Honda,2017,450000,11000,Petrol
1295,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
1296,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol
1297,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel
1298,Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol
1299,Renault Kwid RXT,Renault,2019,370000,1000,Petrol
1300,Tata Nano Lx,Tata,2010,52000,9000,Petrol
1301,Jaguar XE XE,Jaguar,2016,2800000,8500,Petrol
1302,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol
1303,Honda City 1.5,Honda,2014,499000,22000,Petrol
1304,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel
1305,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol
1306,Hyundai Grand i10,Hyundai,2017,400000,20000,Petrol
1307,Hyundai Eon D,Hyundai,2016,120000,87000,Petrol
1308,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol
1309,Maruti Suzuki Wagon,Maruti,2017,375000,23000,Petrol
1310,Honda Amaze 1.2,Honda,2014,381000,6000,Petrol
1311,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol
1312,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel
1313,Maruti Suzuki Eeco,Maruti,2015,278000,39000,Petrol
1314,Hyundai Creta 1.6,Hyundai,2016,1000000,8000,Petrol
1315,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel
1316,Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel
1317,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol
1318,Maruti Suzuki Maruti,Maruti,2001,40000,75000,Petrol
1319,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol
1320,Hyundai Grand i10,Hyundai,2015,340000,53000,Petrol
1321,Hyundai Eon D,Hyundai,2018,260000,25000,Petrol
1322,Ford Fiesta SXi,Ford,2009,250000,56400,Petrol
1323,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel
1324,Hyundai Verna Fluidic,Hyundai,2012,350000,10000,Diesel
1325,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol
1326,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol
1327,Audi A6 2.0,Audi,2012,1599000,11500,Diesel
1328,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol
1329,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol
1330,Maruti Suzuki Wagon,Maruti,2009,160000,35000,Petrol
1331,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol
